Running command: python kuramoto_main.py   --exp_name BTFF_g15_s42   --seed 42   --n_train_glyphs 15   --n_train 2000   --n_test 10000   --epochs 50   --rmts_epochs 50   --model_type baseline --use_omega --animate
>>> Hyper‑parameters
exp_name            : BTFF_g15_s42
seed                : 42
checkpoint_every    : 10
load_model          : final
model_type          : baseline
animate             : True
epochs              : 50
rmts_epochs         : 50
batch_size          : 64
lr                  : 0.001
finetune            : None
embedding_dim       : 16
oscillator_dim      : 2
num_steps           : 25
step_size           : 0.1
use_omega           : True
omega_kappa         : 2.0
disable_between     : False
symmetric_j         : False
n_train_glyphs      : 15
n_train             : 2000
n_val               : 100
n_test              : 10000
num_workers         : 2
>>> Starting training …
Running on cuda

S/D test loss=0.5988 | acc=0.7985
S/D training complete.

Epoch 1/50 | Train Loss=0.6867, Acc=0.5340 | Val Loss=0.6938, Acc=0.4700
Epoch 2/50 | Train Loss=0.6594, Acc=0.6285 | Val Loss=0.6475, Acc=0.6900
Epoch 3/50 | Train Loss=0.6199, Acc=0.7355 | Val Loss=0.5892, Acc=0.8700
Epoch 4/50 | Train Loss=0.5588, Acc=0.8450 | Val Loss=0.5315, Acc=0.9100
Epoch 5/50 | Train Loss=0.4861, Acc=0.9265 | Val Loss=0.4467, Acc=0.9300
Epoch 6/50 | Train Loss=0.4151, Acc=0.9375 | Val Loss=0.4208, Acc=0.9400
Epoch 7/50 | Train Loss=0.3535, Acc=0.9535 | Val Loss=0.3208, Acc=0.9600
Epoch 8/50 | Train Loss=0.2889, Acc=0.9680 | Val Loss=0.2513, Acc=0.9800
Epoch 9/50 | Train Loss=0.2404, Acc=0.9740 | Val Loss=0.2322, Acc=1.0000
Epoch 10/50 | Train Loss=0.2100, Acc=0.9705 | Val Loss=0.1856, Acc=0.9700
Epoch 11/50 | Train Loss=0.1761, Acc=0.9820 | Val Loss=0.1703, Acc=0.9800
Epoch 12/50 | Train Loss=0.1536, Acc=0.9830 | Val Loss=0.1539, Acc=0.9700
Epoch 13/50 | Train Loss=0.1374, Acc=0.9825 | Val Loss=0.1190, Acc=0.9900
Epoch 14/50 | Train Loss=0.1218, Acc=0.9840 | Val Loss=0.1163, Acc=0.9800
Epoch 15/50 | Train Loss=0.1073, Acc=0.9845 | Val Loss=0.0999, Acc=0.9900
Epoch 16/50 | Train Loss=0.0946, Acc=0.9905 | Val Loss=0.0868, Acc=1.0000
Epoch 17/50 | Train Loss=0.0935, Acc=0.9870 | Val Loss=0.0771, Acc=0.9900
Epoch 18/50 | Train Loss=0.0900, Acc=0.9840 | Val Loss=0.0849, Acc=0.9900
Epoch 19/50 | Train Loss=0.0759, Acc=0.9905 | Val Loss=0.0756, Acc=0.9800
Epoch 20/50 | Train Loss=0.0734, Acc=0.9885 | Val Loss=0.0652, Acc=0.9900
Epoch 21/50 | Train Loss=0.0696, Acc=0.9880 | Val Loss=0.0831, Acc=0.9500
Epoch 22/50 | Train Loss=0.0636, Acc=0.9895 | Val Loss=0.0690, Acc=0.9700
Epoch 23/50 | Train Loss=0.0620, Acc=0.9895 | Val Loss=0.0770, Acc=0.9800
Epoch 24/50 | Train Loss=0.0518, Acc=0.9945 | Val Loss=0.0444, Acc=1.0000
Epoch 25/50 | Train Loss=0.0540, Acc=0.9925 | Val Loss=0.0415, Acc=0.9900
Epoch 26/50 | Train Loss=0.0518, Acc=0.9915 | Val Loss=0.0440, Acc=1.0000
Epoch 27/50 | Train Loss=0.0471, Acc=0.9930 | Val Loss=0.0416, Acc=0.9900
Epoch 28/50 | Train Loss=0.0529, Acc=0.9895 | Val Loss=0.0361, Acc=1.0000
Epoch 29/50 | Train Loss=0.0449, Acc=0.9905 | Val Loss=0.0381, Acc=1.0000
Epoch 30/50 | Train Loss=0.0483, Acc=0.9905 | Val Loss=0.0184, Acc=1.0000
Epoch 31/50 | Train Loss=0.0455, Acc=0.9915 | Val Loss=0.0277, Acc=1.0000
Epoch 32/50 | Train Loss=0.0420, Acc=0.9910 | Val Loss=0.0577, Acc=0.9800
Epoch 33/50 | Train Loss=0.0410, Acc=0.9915 | Val Loss=0.0369, Acc=1.0000
Epoch 34/50 | Train Loss=0.0559, Acc=0.9865 | Val Loss=0.0599, Acc=0.9900
Epoch 35/50 | Train Loss=0.0423, Acc=0.9910 | Val Loss=0.0259, Acc=1.0000
Epoch 36/50 | Train Loss=0.0412, Acc=0.9910 | Val Loss=0.0268, Acc=1.0000
Epoch 37/50 | Train Loss=0.0382, Acc=0.9930 | Val Loss=0.0385, Acc=1.0000
Epoch 38/50 | Train Loss=0.0486, Acc=0.9880 | Val Loss=0.0230, Acc=1.0000
