Running command: python kuramoto_main.py   --exp_name KFFF_g50_s492   --seed 492   --n_train_glyphs 50   --n_train 2000   --n_test 10000   --epochs 50   --rmts_epochs 50   --model_type kuramoto --animate
>>> Hyper‑parameters
exp_name            : KFFF_g50_s492
seed                : 492
checkpoint_every    : 10
load_model          : final
model_type          : kuramoto
animate             : True
epochs              : 50
rmts_epochs         : 50
batch_size          : 64
lr                  : 0.001
finetune            : None
embedding_dim       : 16
oscillator_dim      : 2
num_steps           : 25
step_size           : 0.1
use_omega           : False
omega_kappa         : 2.0
disable_between     : False
symmetric_j         : False
n_train_glyphs      : 50
n_train             : 2000
n_val               : 100
n_test              : 10000
num_workers         : 2
>>> Starting training …
Running on cuda

S/D test loss=0.2815 | acc=0.8891
S/D training complete.

Epoch 1/50 | Train Loss=0.6794, Acc=0.5640 | Val Loss=0.6597, Acc=0.7100
Epoch 2/50 | Train Loss=0.6335, Acc=0.7220 | Val Loss=0.6071, Acc=0.7600
Epoch 3/50 | Train Loss=0.5719, Acc=0.8320 | Val Loss=0.5423, Acc=0.8300
Epoch 4/50 | Train Loss=0.4911, Acc=0.8860 | Val Loss=0.4511, Acc=0.8900
Epoch 5/50 | Train Loss=0.4095, Acc=0.9025 | Val Loss=0.4088, Acc=0.8200
Epoch 6/50 | Train Loss=0.3588, Acc=0.8975 | Val Loss=0.3522, Acc=0.8900
Epoch 7/50 | Train Loss=0.3130, Acc=0.9040 | Val Loss=0.3215, Acc=0.8900
Epoch 8/50 | Train Loss=0.2783, Acc=0.9175 | Val Loss=0.2713, Acc=0.9000
Epoch 9/50 | Train Loss=0.2611, Acc=0.9225 | Val Loss=0.2795, Acc=0.8800
Epoch 10/50 | Train Loss=0.2495, Acc=0.9155 | Val Loss=0.3007, Acc=0.8700
Epoch 11/50 | Train Loss=0.2495, Acc=0.9080 | Val Loss=0.3019, Acc=0.8700
Epoch 12/50 | Train Loss=0.2364, Acc=0.9185 | Val Loss=0.2320, Acc=0.9500
Epoch 13/50 | Train Loss=0.2270, Acc=0.9225 | Val Loss=0.2362, Acc=0.9100
Epoch 14/50 | Train Loss=0.2289, Acc=0.9170 | Val Loss=0.1964, Acc=0.9300
Epoch 15/50 | Train Loss=0.2133, Acc=0.9195 | Val Loss=0.2300, Acc=0.8900
Epoch 16/50 | Train Loss=0.2063, Acc=0.9230 | Val Loss=0.2762, Acc=0.8800
Epoch 17/50 | Train Loss=0.2015, Acc=0.9205 | Val Loss=0.1797, Acc=0.9100
Epoch 18/50 | Train Loss=0.2027, Acc=0.9305 | Val Loss=0.2351, Acc=0.8900
Epoch 19/50 | Train Loss=0.2129, Acc=0.9215 | Val Loss=0.2284, Acc=0.9200
Epoch 20/50 | Train Loss=0.2137, Acc=0.9160 | Val Loss=0.2639, Acc=0.9000
Epoch 21/50 | Train Loss=0.2006, Acc=0.9265 | Val Loss=0.2238, Acc=0.8900
Epoch 22/50 | Train Loss=0.1989, Acc=0.9230 | Val Loss=0.2345, Acc=0.9200
Epoch 23/50 | Train Loss=0.2117, Acc=0.9170 | Val Loss=0.2645, Acc=0.8800
Epoch 24/50 | Train Loss=0.2026, Acc=0.9195 | Val Loss=0.1594, Acc=0.9600
Epoch 25/50 | Train Loss=0.2028, Acc=0.9195 | Val Loss=0.2602, Acc=0.9100
Epoch 26/50 | Train Loss=0.2016, Acc=0.9240 | Val Loss=0.1902, Acc=0.9400
Epoch 27/50 | Train Loss=0.1832, Acc=0.9290 | Val Loss=0.2369, Acc=0.9300
Epoch 28/50 | Train Loss=0.2188, Acc=0.9110 | Val Loss=0.2501, Acc=0.8800
Epoch 29/50 | Train Loss=0.1975, Acc=0.9265 | Val Loss=0.2558, Acc=0.9100
Epoch 30/50 | Train Loss=0.1879, Acc=0.9355 | Val Loss=0.2318, Acc=0.9100
Epoch 31/50 | Train Loss=0.1907, Acc=0.9300 | Val Loss=0.1982, Acc=0.9300
Epoch 32/50 | Train Loss=0.2059, Acc=0.9195 | Val Loss=0.1262, Acc=0.9600
Epoch 33/50 | Train Loss=0.2199, Acc=0.9140 | Val Loss=0.1571, Acc=0.9200
Epoch 34/50 | Train Loss=0.2006, Acc=0.9275 | Val Loss=0.1816, Acc=0.9300
Epoch 35/50 | Train Loss=0.1797, Acc=0.9300 | Val Loss=0.2073, Acc=0.9400
Epoch 36/50 | Train Loss=0.1996, Acc=0.9215 | Val Loss=0.1613, Acc=0.9500
Epoch 37/50 | Train Loss=0.1934, Acc=0.9260 | Val Loss=0.1569, Acc=0.9300
Epoch 38/50 | Train Loss=0.2065, Acc=0.9205 | Val Loss=0.2372, Acc=0.9000
Epoch 39/50 | Train Loss=0.1948, Acc=0.9250 | Val Loss=0.1911, Acc=0.9100
Epoch 40/50 | Train Loss=0.1858, Acc=0.9270 | Val Loss=0.2364, Acc=0.9200
Epoch 41/50 | Train Loss=0.1892, Acc=0.9250 | Val Loss=0.2506, Acc=0.9100
Epoch 42/50 | Train Loss=0.1855, Acc=0.9385 | Val Loss=0.1822, Acc=0.9300
Epoch 43/50 | Train Loss=0.1980, Acc=0.9170 | Val Loss=0.1810, Acc=0.9300
Epoch 44/50 | Train Loss=0.1835, Acc=0.9290 | Val Loss=0.1901, Acc=0.9200
Epoch 45/50 | Train Loss=0.1924, Acc=0.9270 | Val Loss=0.1977, Acc=0.9000
Epoch 46/50 | Train Loss=0.1820, Acc=0.9355 | Val Loss=0.2202, Acc=0.9300
Epoch 47/50 | Train Loss=0.1964, Acc=0.9235 | Val Loss=0.1800, Acc=0.9100
Epoch 48/50 | Train Loss=0.1947, Acc=0.9250 | Val Loss=0.2404, Acc=0.9200
Epoch 49/50 | Train Loss=0.2076, Acc=0.9150 | Val Loss=0.2532, Acc=0.8900
Epoch 50/50 | Train Loss=0.1828, Acc=0.9350 | Val Loss=0.2795, Acc=0.8500

RMTS test loss=0.4110 | acc=0.8351
R-MTS training complete.
