Running command: python kuramoto_main.py   --exp_name KFFT_g15_s492   --seed 492   --n_train_glyphs 15   --n_train 2000   --n_test 10000   --epochs 50   --rmts_epochs 50   --model_type kuramoto --symmetric_j --animate
>>> Hyper‑parameters
exp_name            : KFFT_g15_s492
seed                : 492
checkpoint_every    : 10
load_model          : final
model_type          : kuramoto
animate             : True
epochs              : 50
rmts_epochs         : 50
batch_size          : 64
lr                  : 0.001
finetune            : None
embedding_dim       : 16
oscillator_dim      : 2
num_steps           : 25
step_size           : 0.1
use_omega           : False
omega_kappa         : 2.0
disable_between     : False
symmetric_j         : True
n_train_glyphs      : 15
n_train             : 2000
n_val               : 100
n_test              : 10000
num_workers         : 2
>>> Starting training …
Running on cuda

S/D test loss=0.8827 | acc=0.7414
S/D training complete.

Epoch 1/50 | Train Loss=0.6263, Acc=0.7730 | Val Loss=0.5728, Acc=0.8700
Epoch 2/50 | Train Loss=0.4760, Acc=0.9450 | Val Loss=0.4209, Acc=0.9100
Epoch 3/50 | Train Loss=0.3173, Acc=0.9580 | Val Loss=0.2859, Acc=0.9300
Epoch 4/50 | Train Loss=0.2111, Acc=0.9675 | Val Loss=0.2215, Acc=0.9500
Epoch 5/50 | Train Loss=0.1517, Acc=0.9685 | Val Loss=0.1850, Acc=0.9500
Epoch 6/50 | Train Loss=0.1306, Acc=0.9695 | Val Loss=0.1484, Acc=0.9500
Epoch 7/50 | Train Loss=0.1131, Acc=0.9730 | Val Loss=0.1332, Acc=0.9600
Epoch 8/50 | Train Loss=0.1036, Acc=0.9740 | Val Loss=0.1128, Acc=0.9700
Epoch 9/50 | Train Loss=0.1126, Acc=0.9665 | Val Loss=0.0694, Acc=0.9900
Epoch 10/50 | Train Loss=0.0979, Acc=0.9730 | Val Loss=0.1154, Acc=0.9800
Epoch 11/50 | Train Loss=0.1018, Acc=0.9685 | Val Loss=0.1257, Acc=0.9500
Epoch 12/50 | Train Loss=0.0890, Acc=0.9715 | Val Loss=0.1063, Acc=0.9700
Epoch 13/50 | Train Loss=0.0972, Acc=0.9700 | Val Loss=0.1153, Acc=0.9600
Epoch 14/50 | Train Loss=0.0907, Acc=0.9740 | Val Loss=0.0629, Acc=0.9700
Epoch 15/50 | Train Loss=0.0883, Acc=0.9760 | Val Loss=0.1039, Acc=0.9800
Epoch 16/50 | Train Loss=0.0896, Acc=0.9705 | Val Loss=0.1096, Acc=0.9700
Epoch 17/50 | Train Loss=0.0901, Acc=0.9730 | Val Loss=0.0710, Acc=0.9700
Epoch 18/50 | Train Loss=0.0868, Acc=0.9715 | Val Loss=0.0856, Acc=0.9800
Epoch 19/50 | Train Loss=0.0823, Acc=0.9755 | Val Loss=0.1255, Acc=0.9600
Epoch 20/50 | Train Loss=0.0856, Acc=0.9765 | Val Loss=0.0977, Acc=0.9700
Epoch 21/50 | Train Loss=0.0845, Acc=0.9745 | Val Loss=0.0982, Acc=0.9600
Epoch 22/50 | Train Loss=0.0796, Acc=0.9770 | Val Loss=0.0829, Acc=0.9600
Epoch 23/50 | Train Loss=0.0917, Acc=0.9725 | Val Loss=0.0959, Acc=0.9400
Epoch 24/50 | Train Loss=0.0875, Acc=0.9740 | Val Loss=0.1144, Acc=0.9800
Epoch 25/50 | Train Loss=0.0867, Acc=0.9735 | Val Loss=0.0466, Acc=1.0000
Epoch 26/50 | Train Loss=0.0822, Acc=0.9730 | Val Loss=0.1427, Acc=0.9600
Epoch 27/50 | Train Loss=0.0781, Acc=0.9785 | Val Loss=0.0487, Acc=0.9800
Epoch 28/50 | Train Loss=0.0815, Acc=0.9760 | Val Loss=0.2337, Acc=0.9300
Epoch 29/50 | Train Loss=0.0837, Acc=0.9765 | Val Loss=0.0903, Acc=0.9800
Epoch 30/50 | Train Loss=0.0807, Acc=0.9760 | Val Loss=0.0563, Acc=0.9700
Epoch 31/50 | Train Loss=0.0924, Acc=0.9725 | Val Loss=0.0940, Acc=0.9800
Epoch 32/50 | Train Loss=0.0754, Acc=0.9775 | Val Loss=0.0782, Acc=0.9700
Epoch 33/50 | Train Loss=0.0706, Acc=0.9775 | Val Loss=0.0422, Acc=0.9800
Epoch 34/50 | Train Loss=0.0727, Acc=0.9795 | Val Loss=0.1006, Acc=0.9600
Epoch 35/50 | Train Loss=0.0767, Acc=0.9770 | Val Loss=0.1019, Acc=0.9700
Epoch 36/50 | Train Loss=0.0698, Acc=0.9795 | Val Loss=0.0496, Acc=0.9800
Epoch 37/50 | Train Loss=0.0746, Acc=0.9795 | Val Loss=0.0621, Acc=0.9800
Epoch 38/50 | Train Loss=0.0913, Acc=0.9715 | Val Loss=0.0854, Acc=0.9700
Epoch 39/50 | Train Loss=0.0755, Acc=0.9765 | Val Loss=0.0589, Acc=0.9700
Epoch 40/50 | Train Loss=0.0721, Acc=0.9790 | Val Loss=0.1034, Acc=0.9600
Epoch 41/50 | Train Loss=0.0834, Acc=0.9770 | Val Loss=0.0368, Acc=0.9900
Epoch 42/50 | Train Loss=0.0830, Acc=0.9770 | Val Loss=0.1349, Acc=0.9700
Epoch 43/50 | Train Loss=0.0753, Acc=0.9785 | Val Loss=0.0412, Acc=0.9900
Epoch 44/50 | Train Loss=0.0834, Acc=0.9785 | Val Loss=0.0743, Acc=0.9700
Epoch 45/50 | Train Loss=0.0855, Acc=0.9785 | Val Loss=0.0823, Acc=0.9700
Epoch 46/50 | Train Loss=0.0787, Acc=0.9790 | Val Loss=0.0876, Acc=0.9700
Epoch 47/50 | Train Loss=0.0738, Acc=0.9790 | Val Loss=0.1049, Acc=0.9900
Epoch 48/50 | Train Loss=0.0913, Acc=0.9715 | Val Loss=0.0843, Acc=0.9800
Epoch 49/50 | Train Loss=0.0835, Acc=0.9760 | Val Loss=0.0926, Acc=0.9700
Epoch 50/50 | Train Loss=0.0901, Acc=0.9695 | Val Loss=0.0797, Acc=0.9800

RMTS test loss=1.0578 | acc=0.6730
R-MTS training complete.
