Running command: python kuramoto_main.py   --exp_name KFFT_g50_s42   --seed 42   --n_train_glyphs 50   --n_train 2000   --n_test 10000   --epochs 50   --rmts_epochs 50   --model_type kuramoto --symmetric_j --animate
>>> Hyper‑parameters
exp_name            : KFFT_g50_s42
seed                : 42
checkpoint_every    : 10
load_model          : final
model_type          : kuramoto
animate             : True
epochs              : 50
rmts_epochs         : 50
batch_size          : 64
lr                  : 0.001
finetune            : None
embedding_dim       : 16
oscillator_dim      : 2
num_steps           : 25
step_size           : 0.1
use_omega           : False
omega_kappa         : 2.0
disable_between     : False
symmetric_j         : True
n_train_glyphs      : 50
n_train             : 2000
n_val               : 100
n_test              : 10000
num_workers         : 2
>>> Starting training …
Running on cuda

S/D test loss=0.2698 | acc=0.8944
S/D training complete.

Epoch 1/50 | Train Loss=0.6948, Acc=0.5180 | Val Loss=0.6893, Acc=0.5600
Epoch 2/50 | Train Loss=0.6848, Acc=0.5540 | Val Loss=0.6799, Acc=0.5200
Epoch 3/50 | Train Loss=0.6638, Acc=0.7220 | Val Loss=0.6496, Acc=0.8500
Epoch 4/50 | Train Loss=0.6296, Acc=0.8255 | Val Loss=0.5972, Acc=0.8800
Epoch 5/50 | Train Loss=0.5799, Acc=0.8865 | Val Loss=0.5498, Acc=0.8600
Epoch 6/50 | Train Loss=0.5124, Acc=0.9065 | Val Loss=0.5107, Acc=0.8100
Epoch 7/50 | Train Loss=0.4588, Acc=0.8985 | Val Loss=0.4383, Acc=0.8700
Epoch 8/50 | Train Loss=0.3884, Acc=0.9245 | Val Loss=0.3829, Acc=0.9000
Epoch 9/50 | Train Loss=0.3449, Acc=0.9255 | Val Loss=0.3916, Acc=0.8600
Epoch 10/50 | Train Loss=0.3128, Acc=0.9255 | Val Loss=0.3283, Acc=0.9100
Epoch 11/50 | Train Loss=0.2828, Acc=0.9225 | Val Loss=0.2813, Acc=0.9200
Epoch 12/50 | Train Loss=0.2560, Acc=0.9305 | Val Loss=0.3034, Acc=0.9000
Epoch 13/50 | Train Loss=0.2528, Acc=0.9215 | Val Loss=0.2582, Acc=0.9300
Epoch 14/50 | Train Loss=0.2264, Acc=0.9295 | Val Loss=0.2752, Acc=0.9000
Epoch 15/50 | Train Loss=0.2205, Acc=0.9305 | Val Loss=0.2558, Acc=0.8900
Epoch 16/50 | Train Loss=0.2127, Acc=0.9305 | Val Loss=0.2496, Acc=0.9100
Epoch 17/50 | Train Loss=0.2171, Acc=0.9260 | Val Loss=0.2744, Acc=0.8800
Epoch 18/50 | Train Loss=0.1896, Acc=0.9370 | Val Loss=0.2015, Acc=0.9300
Epoch 19/50 | Train Loss=0.1961, Acc=0.9315 | Val Loss=0.2009, Acc=0.9400
Epoch 20/50 | Train Loss=0.1909, Acc=0.9360 | Val Loss=0.2160, Acc=0.9100
Epoch 21/50 | Train Loss=0.1923, Acc=0.9330 | Val Loss=0.1840, Acc=0.9400
Epoch 22/50 | Train Loss=0.1795, Acc=0.9395 | Val Loss=0.2426, Acc=0.9100
Epoch 23/50 | Train Loss=0.1852, Acc=0.9350 | Val Loss=0.2034, Acc=0.9300
Epoch 24/50 | Train Loss=0.1812, Acc=0.9380 | Val Loss=0.1989, Acc=0.9200
Epoch 25/50 | Train Loss=0.1795, Acc=0.9370 | Val Loss=0.2002, Acc=0.9300
Epoch 26/50 | Train Loss=0.1698, Acc=0.9365 | Val Loss=0.2275, Acc=0.9300
Epoch 27/50 | Train Loss=0.1707, Acc=0.9440 | Val Loss=0.2486, Acc=0.9200
Epoch 28/50 | Train Loss=0.1665, Acc=0.9470 | Val Loss=0.2392, Acc=0.9200
Epoch 29/50 | Train Loss=0.1636, Acc=0.9415 | Val Loss=0.2236, Acc=0.9100
Epoch 30/50 | Train Loss=0.1655, Acc=0.9410 | Val Loss=0.2103, Acc=0.9200
Epoch 31/50 | Train Loss=0.1727, Acc=0.9325 | Val Loss=0.2198, Acc=0.9300
Epoch 32/50 | Train Loss=0.1599, Acc=0.9450 | Val Loss=0.1972, Acc=0.9300
Epoch 33/50 | Train Loss=0.1700, Acc=0.9410 | Val Loss=0.1922, Acc=0.9400
Epoch 34/50 | Train Loss=0.1654, Acc=0.9455 | Val Loss=0.1967, Acc=0.9300
Epoch 35/50 | Train Loss=0.1605, Acc=0.9445 | Val Loss=0.2620, Acc=0.8900
Epoch 36/50 | Train Loss=0.1586, Acc=0.9475 | Val Loss=0.2271, Acc=0.9500
Epoch 37/50 | Train Loss=0.1615, Acc=0.9440 | Val Loss=0.2500, Acc=0.8900
Epoch 38/50 | Train Loss=0.1646, Acc=0.9425 | Val Loss=0.1859, Acc=0.9400
Epoch 39/50 | Train Loss=0.1718, Acc=0.9395 | Val Loss=0.1993, Acc=0.9200
Epoch 40/50 | Train Loss=0.1732, Acc=0.9365 | Val Loss=0.1957, Acc=0.9400
Epoch 41/50 | Train Loss=0.1703, Acc=0.9385 | Val Loss=0.1604, Acc=0.9400
Epoch 42/50 | Train Loss=0.1716, Acc=0.9330 | Val Loss=0.2334, Acc=0.9200
Epoch 43/50 | Train Loss=0.1587, Acc=0.9445 | Val Loss=0.2416, Acc=0.8900
Epoch 44/50 | Train Loss=0.1639, Acc=0.9415 | Val Loss=0.1899, Acc=0.9300
Epoch 45/50 | Train Loss=0.1563, Acc=0.9435 | Val Loss=0.1895, Acc=0.9500
Epoch 46/50 | Train Loss=0.1512, Acc=0.9420 | Val Loss=0.2181, Acc=0.9300
Epoch 47/50 | Train Loss=0.1551, Acc=0.9460 | Val Loss=0.1052, Acc=0.9700
Epoch 48/50 | Train Loss=0.1601, Acc=0.9435 | Val Loss=0.2227, Acc=0.8900
Epoch 49/50 | Train Loss=0.1733, Acc=0.9385 | Val Loss=0.1651, Acc=0.9400
Epoch 50/50 | Train Loss=0.1510, Acc=0.9470 | Val Loss=0.1833, Acc=0.9200

RMTS test loss=0.3421 | acc=0.8681
R-MTS training complete.
